Username,Time and Date,Tweet Text,URL Links,Twitter Permalink
@HUD_B,6:17 PM - 8 May 2010,um yea i kno that poem needs wrok but its a start!!!??? #feralC, ,https://twitter.com/HUD_B/status/13631576827
@Miss_Stressa,6:16 PM - 8 May 2010,"Really @if? I must say I'm not the world's best photographer.  I do try though. There's quite a bit of complexity involved, you know?#feralC", ,https://twitter.com/Miss_Stressa/status/13631530495
@HUD_B,6:14 PM - 8 May 2010,"my poem is ""Fareetail Romance""  @labfly @if  heer goes !!!!???? ""u are my love, my love, my love. the 1 i wanted. the 1 i needed"" #feralC", ,https://twitter.com/HUD_B/status/13631448919
@HUD_B,6:10 PM - 8 May 2010,ooOOOoooo hi @labfly @if  ummMMM....... dunno aboot sharing my poetry....mebbe a few lines!????? #feralC, ,https://twitter.com/HUD_B/status/13631315922
@Miss_Stressa,6:08 PM - 8 May 2010,Oh there's no drama @gossama take your time. #feralC, ,https://twitter.com/Miss_Stressa/status/13631227772
@gossama,6:06 PM - 8 May 2010,@Miss_Stressa just gimme a sec + i'll tell ya #feralC, ,https://twitter.com/gossama/status/13631166932
@HUD_B,6:05 PM - 8 May 2010,hi all!!!!!!! <3 how r u all? i'm great just finished writing some poetry!!!??????????? #feralC, ,https://twitter.com/HUD_B/status/13631117491
@Miss_Stressa,6:03 PM - 8 May 2010,"Well I'm here. I've worked out quite a bit about this Twitter. I also have some photos to show if I can. @gossama What's ""a quest?"" #feralC", ,https://twitter.com/Miss_Stressa/status/13631029274
@gossama,6:01 PM - 8 May 2010,gimme a sec just finishing a quest #feralC, ,https://twitter.com/gossama/status/13630954022
@gossama,5:31 PM - 8 May 2010,ahhhh FRACK!!!!  ingame atm in LFG  2 mins left in random dailly queue TWEETCRAFT IS BORKIN OUT ON MEEEEEEEEEEEEEE i'll b there #feralC, ,https://twitter.com/gossama/status/13629807622
@gossama,9:06 AM - 8 May 2010,******w00Tage!**** [Gossama] Has now completed [Keristrasza kills (Heroic Nexus)] 35 times. #feralC, ,https://twitter.com/gossama/status/13607088375
@Miss_Stressa,8:35 AM - 8 May 2010,Ha! @jr_carpenter  Glad you found the source of your problem. I'm off to do some photographing and remodeling #feralC, ,https://twitter.com/Miss_Stressa/status/13605822607
@Miss_Stressa,7:12 AM - 8 May 2010,So I can put links in here...That's very handy. #feralC, ,https://twitter.com/Miss_Stressa/status/13602940626
@Miss_Stressa,7:09 AM - 8 May 2010,"Also, I hope you find a beneficial way to deal with your Stress @jr_carpenter.  Do you know of Seligman? http://bit.ly/kamUP #feralC", ,https://twitter.com/Miss_Stressa/status/13602824479
@Miss_Stressa,7:04 AM - 8 May 2010,Hunger could have something to do with it @jr_carpenter . I find when I'm out photographing I need to keep my blood sugar levels up. #feralC, ,https://twitter.com/Miss_Stressa/status/13602687006
@Miss_Stressa,7:02 AM - 8 May 2010,"Well @jr_carpenter  ""Stressa"" is my birthname (I'm unmarried) so it doesn't indicate anything else. At least I don't think it does.  #feralC", ,https://twitter.com/Miss_Stressa/status/13602611729
@Miss_Stressa,6:55 AM - 8 May 2010,"I'm actually not sure if I'm allowed to respond to you outside of Session Times @jr_carpenter, I'll have to check  the manual. #feralC", ,https://twitter.com/Miss_Stressa/status/13602422733
@HUD_B,2:39 AM - 8 May 2010,@gossama @Miss_Stressa cya guys!! stay safe promise i'll ahve a clue next time!!!????? <3 #feralC, ,https://twitter.com/HUD_B/status/13594899395
@gossama,2:37 AM - 8 May 2010,later peeps . we'll find out who the fark we're missing next go round. #feralC, ,https://twitter.com/gossama/status/13594842547
@gossama,2:34 AM - 8 May 2010,ty buddy @if. think times up for now anywai  #feralC, ,https://twitter.com/gossama/status/13594722466
@Miss_Stressa,2:33 AM - 8 May 2010,@gossama I don't think you missed much. And by my watch that's the first session over. Is that right @pupa_mistress ? #feralC, ,https://twitter.com/Miss_Stressa/status/13594693948
@gossama,2:28 AM - 8 May 2010,back. wot did i miss? #feralC, ,https://twitter.com/gossama/status/13594546683
@gossama,2:17 AM - 8 May 2010,"afk a tic, brb #feralC", ,https://twitter.com/gossama/status/13594165031
@gossama,2:14 AM - 8 May 2010,yeah that dude seems broke @HUD_B ...just dmed @pupa_mistress + they said @o0000O0 isn't 1 of the main ppl here. means were missin 1#feralC, ,https://twitter.com/gossama/status/13594049384
@HUD_B,2:11 AM - 8 May 2010,noOOOOo @gossama i'm just a bit shy.  & i find chilling nec in all this stuff!!??? i ahve manged to work out that @o0000O0 =??? #feralC, ,https://twitter.com/HUD_B/status/13593969079
@gossama,2:03 AM - 8 May 2010,*bbbeeeeeppp* tweetearth 2 @HUD_B. we've scared u off huh? + @QReada i dunno wot ur deal is ur last tweet was borked as #feralC, ,https://twitter.com/gossama/status/13593688432
@Miss_Stressa,1:57 AM - 8 May 2010,"Oh I'm not getting paid for this @gossama, I'm doing this as a favor for a friend. They must value you highly to pay you. #feralC", ,https://twitter.com/Miss_Stressa/status/13593462094
@gossama,1:52 AM - 8 May 2010,dw bout @o0000O0  he's horde anywai  @Miss_Stressa ;) u'll get the hang o this + all we gotta do is type sheet in + then get paid. #feralC, ,https://twitter.com/gossama/status/13593293145
@Miss_Stressa,1:49 AM - 8 May 2010,Hm apparently I tweeted too soon... #feralC, ,https://twitter.com/Miss_Stressa/status/13593179054
@Miss_Stressa,1:47 AM - 8 May 2010,@gossama  Well I'm certainly glad that @o0000O0 person left. How rude! And I'm yet to work this out.. #feralC, ,https://twitter.com/Miss_Stressa/status/13593106108
@gossama,1:43 AM - 8 May 2010,huh no wai @HUD_B THEY MADE ME DO EET! *not rly* i just signed up 4 the money. #feralC, ,https://twitter.com/gossama/status/13592981164
@HUD_B,1:39 AM - 8 May 2010,hi @gossama  yeah i am here cos of the trial...did u sign up thru 1 of those match-matching surveys 2? #feralC, ,https://twitter.com/HUD_B/status/13592822856
@gossama,1:35 AM - 8 May 2010,hiya @HUD_B . wots cracking? u here cos of the trial as well? #feralC, ,https://twitter.com/gossama/status/13592690798
@gossama,1:29 AM - 8 May 2010,heh @o0000O0 alliance ftw! #feralC, ,https://twitter.com/gossama/status/13592434197
@HUD_B,1:27 AM - 8 May 2010,um...hi? #feralC, ,https://twitter.com/HUD_B/status/13592382338
@Miss_Stressa,1:26 AM - 8 May 2010,"I'm certainly not going to talk to you with an attitude like that @o0000O0.  And I can't work out what you're saying, anyway. Speak English!", ,https://twitter.com/Miss_Stressa/status/13592338716
@QReada,1:24 AM - 8 May 2010,{ xxxA  xxxRxxxxC] #feralC, ,https://twitter.com/QReada/status/13592254932
@gossama,1:23 AM - 8 May 2010,"oh + yeah if u wanna kno more about me , RTFM! #feralC", ,https://twitter.com/gossama/status/13592230866
@gossama,1:22 AM - 8 May 2010,"heh @Miss_Stressa no ""stress"" *geddit?* thought there was 5 of us in this but fark i dunno.  #feralC", ,https://twitter.com/gossama/status/13592192247
@Miss_Stressa,1:20 AM - 8 May 2010,"Yes, @gossama . Are you there? Where is ""there""? I'm just trying to work this out. @o0000O0 you seem quite rude! #feralC", ,https://twitter.com/Miss_Stressa/status/13592086380
@gossama,1:13 AM - 8 May 2010,i tellz ya: this isn't worth the moolah. u there @Miss_Stressa ? who else b there? #feralC, ,https://twitter.com/gossama/status/13591838382
@gossama,1:11 AM - 8 May 2010,..+ wow ***scorched*...yeah yeah @pupa_mistress tag this sheet up i kno *sheesh* #feralC, ,https://twitter.com/gossama/status/13591771828
@gossama,1:06 AM - 8 May 2010,....bout 2 ask the same sheete myself..any1 else there?, ,https://twitter.com/gossama/status/13591579395
@Miss_Stressa,1:05 AM - 8 May 2010,Hmmm. Is this thing working?, ,https://twitter.com/Miss_Stressa/status/13591510769
